返報をする	んで	偸んで
附をする	へ	茶へ
約束をする	に	夫人に
批評をする	が	君が
真似をする	は	迷亭は
刺激をする	だけ	局部だけ
発達をする	は	時は
抗議をする	が	君が
復讐をする	は	君は
遠慮をする	に	ものに
下宿をする	が に	私が いっしょに
出所をする	から	下から
依頼をする	は	さんは
同宿をする	は から と	君は 時代から 沙弥と
観察をする	から	辺から
大発見をする	に	辺に
試験をする	に	国に
喧嘩をする	に	後日に
随行をする	へ	所へ
質問をする	は	主人は
情死をする	と	金と
変化をする	に	表面に
喧嘩をする	と	鼻と
説明をする	じゃあ は	事じゃあ 君は
問答をする	で	禅家で
外出をする	でも	あいつでも
料理をする	でも	何でも
質問をする	は が	今度は 自身が
研究をする	について	鼻について
依頼をする	で	主義で
作用をする	へ	ところへ
講義をする	で	大学で
刺激をする	に	底に
休養をする	は	状態は
観察をする	が	自身が
製造をする	で	一手で
左右をする	に	一時に
変化をする	に	上に
変化をする	に と	発音に 自然と
変化をする	の を	今日の 顔を
発展をする	まで	ここまで
休養をする	は	吾輩は
対談をする	に が と	勝手口に 夫婦が 巡査と
相談をする	は に対して	夫婦は 質問に対して
告訴をする	から	今から
真似をする	も	妹も
真似をする	が も	妹が 今度も
自慢をする	か が	うまか 君が
喧嘩をする	と	細君と
返事をする	が から に	細君が 傍から 君に
自炊をする	で に	寺で いっしょに
休養をする	は	吾輩は
真似をする	が で	君が 上野公園で
休養をする	は に	者は ために
休養をする	は は に	汝は 吾輩は ために
休養をする	に	以外に
休養をする	と に	猫と 以上に
故障をする	に	鍋に
演説をする	に	鮪に
脱線をする	に	電鉄に
辞職をする	に	主人に
戦争をする	から は と	じゅうから 日本は 露西亜と
戦争をする	と	鼠と
安心をする	が	のが
安心をする	が	方が
安心をする	も	吾輩も
答弁をする	に対して	問題に対して
休養をする	は に と	吾輩は 前に 一と
代理をする	に	通しに
暴行をする	に が	向うに 敵が
区劃をする	で へ	割合で 上へ
反応をする	も か	皮膚も 幾分か
御馳走をする	で	途中で
注意をする	は に	細君は そうに
返事をする	は に	迷亭は 細君に
問答をする	は	迷亭は
辞儀をする	に	叮嚀に
返事をする	は	奥さんは
息をする	で	中途で
研究をする	で	問題で
挨拶をする	も	迷亭も
註釈をする	の	例の
談話をする	まで	今まで
息をする	じゃ は から と	冗談じゃ 主人は 鼻から フンと
返事をする	に	爺さんに
挨拶をする	と	あいと
一段落をする	も で	駄弁も これで
結婚をする	で に	それで 下女に
結婚をする	に	さんに
話をする	は	迷亭は
小便をする	へ	図書館へ
合奏をする	の と	君の 人と
話をする	は か	君は のか
問答をする	は	僕は
観察をする	で	声で
体操をする	から	窓から
体操をする	が に	女学生が 一心不乱に
講義をする	に	ききに
不足をする	で	これで
挨拶をする	は	先生は
返事をする	が	主人が
講釈をする	が	伺が
批評をする	は	今度は
演説をする	で	英国で
芝居をする	で	独逸で
交際をする	から	それから
運動をする	は	吾輩は
病気をする	が も	魚が 一疋も
呼吸をする	も に で	匹も 上に 呼吸で
変化をする	に	上に
小便をする	に から	最後に 蝉から
御馳走をする	にて	常磐にて
猶予をする	に	彼等に
話をする	か	何か
反応をする	も	記号も
影響をする	に	男に
思案をする	まで	ここまで
困却をする	を が	者を 職員が
競争をする	なり	化物なり
差別をする	は まで	赤裸は どこまで
談笑をする	は も	団体は 羽織も
忠告をする	に	熱心に
同情をする	に	化物に
代理をする	は	これは
我慢をする	に	中に
鑑定をする	は に は	これは 際に 吾輩は
喧嘩をする	は を	彼は 書生を
怒号をする	と	結果と
挨拶をする	で	先方で
邪魔をする	が	軍隊が
通行をする	は	ハンニバルは
逆戻りをする	に	世界に
道楽をする	に	ものに
御馳走をする	に に	大事に 晩に
北面をする	に は として	名前に 税は 事として
教育をする	で	学校で
談話をする	に	声に
深入りをする	まで	正面まで
遊弋をする	で	所で
出所をする	に	分明に
診断をする	も から	あれも 上から
逆上をする	に を の へ に	すに 血液を 従前の 各部へ 平均に
逆上をする	で	中で
逆上をする	は と	プレートーは 狂気と
真似をする	に	最後に
射撃をする	に から	戦争に 海軍から
行動をする	が	敵が
講義をする	で	一室で
講話をする	は	主人は
講話をする	が に	主人が 真面目に
遊戯をする	に	日本人に
戦争をする	に	下に
供給をする	で	戦争で
戦争をする	に に	ずるに 主人に
講義をする	から	うちから
供をする	が	主人が
戦争をする	は でも	主人は これでも
訓戒をする	に	ように
注意をする	で	事で
容赦をする	は	これは
挨拶をする	は によって の	主人は 例によって 例の
落着をする	は と	事件は 一と
供をする	に	相手に
談話をする	が	吾輩が
談話をする	は	吾輩は
報知をする	に	帰りがけに
満足をする	は	文明は
関係をする	の	人の
安心をする	に	下に
喧嘩をする	で に	人で 的に
安心をする	で	修養で
訓戒をする	に	以外に
喧嘩をする	によって	意見によって
昼寝をする	が へ	主人が 上へ
心配をする	は	のは
訓練をする	は に	近頃は 大に
鞭撻をする	は	主人は
終了をする	を以て ん	月を以て 殆ん
意味をする	は	男は
案内をする	から で	玄関から 声で
案内をする	の	迷亭の
挨拶をする	から	書斎から
修養をする	から	せんだってから
講釈をする	から	人から
立見をする	は	君は
噂をする	が に	これが 君に
見物をする	で	久し振りで
座禅をする	で	上で
挨拶をする	は	君は
辞儀をする	は に	主人は 寧に
早合点をする	が	こっちが
落着をする	は で	事件は これで
同情をする	に	言辞に
注意をする	が に	先方が 無に
掃除をする	は によって	のは 例によって
掃除をする	は に	細君は ために
失望をする	に	上に
化粧をする	は	嬢は
掃除をする	へ	ところへ
返事をする	で	声で
昼寝をする	は	今度は
宙返りをする	に が	真中に 県が
宙返りをする	が	県が
変調をする	の	吠の
一段落をする	が	それが
襲撃をする	に	急に
活躍をする	が	ばが
朝食をする	に	無事に
支度をする	よ	休みよ
喧嘩をする	と	叔父さんと
話をする	って でも も	のって 何でも 時間も
談判をする	で	蔭で
決心をする	に	事に
演説をする	で	学校で
演説をする	じゃ	先生じゃ
話をする	が	さんが
仕事をする	へ	隅へ
話をする	も	ばも
苦笑をする	は	妻君は
相談をする	で が	——で みんなが
相談をする	は	ものは
降参をする	で	手際で
相談をする	で	——で
質問をする	が	子が
話をする	が	私が
近道をする	から	正面から
化粧をする	の	かたの
弁論をする	と は について か	さんと 叔母さんは 事件について 何か
同情をする	に	大に
相談をする	は に	さんは 時に
話をする	と	細君と
判断をする	は	主人は
尊敬をする	も として より	人間も 人間として 猫より
いたずらをする	も	吾輩も
質問をする	に か	ように 物か
嘆息をする	だり	かんだり
失礼をする	が	人が
摩擦をする	は に	これは 局部に
会釈をする	に	君に
話をする	まで として に	時まで 黙然として そうに
協商をする	は	細君は
嘆願をする	まで	いつまで
料理をする	で	人で
散歩をする	に	いっしょに
運動をする	から	それから
退去をする	に	先生に
いたずらをする	と	君と
待ったをする	から	さっきから
関係をする	から で に	方から 声で 談話に
真似をする	は	男は
体操をする	で	はだしで
奉職をする	が へ	友人が あすこへ
計算をする	は で	君は 内で
話をする	は	君は
制裁をする	に	むやみに
大息をする	は として	主人は 喟然として
質問をする	が	君が
結婚をする	は	人間は
苦心をする	も	僕も
迫害をする	から	昔から
同情をする	は に	君は 大に
祈念をする	に に	ひそかに 神仏に
抗議をする	が	主人が
談話をする	は	君は
話をする	は	君は
返事をする	が	小僧が
問答をする	について の	隠れ家について かくの
質問をする	は	君は
自炊をする	が で	等が 御寺で
胡坐をする	で	前で
降参をする	は	主人は
昼寝をする	で	上で
反響をする	が	声が
震動をする	が に	両足が ように
酷評をする	は が	今度は 主人が
心配をする	へ	へへ
質問をする	は	主人は
懐中をする	に	際に
質問をする	は だけ	君は 君だけ
議論をする	は で	主人は 口調で
議論をする	に	舌頭に
探偵をする	に	泥棒に
話をする	は	僕は
自殺をする	に	なかに
話をする	は で	君は 付で
水泳をする	は	問題は
喧嘩をする	で	中で
尊敬をする	に	これに
同情をする	に	高潔に
返事をする	は で	妻君は 遠くで
算をする	が	死骸が
対面をする	と	母と
我慢をする	に	我慢に
行水をする	は に	甕は 上に
行水をする	が に で	自身が 代りに 所で
